LISTA DE IMPACTOS DETECTADOS (segundos):
- Inicio: 187.47s, Fin: 188.07s (Duración: 0.60s)
- Inicio: 188.20s, Fin: 188.20s (Duración: 0.00s)
- Inicio: 188.47s, Fin: 188.47s (Duración: 0.00s)
- Inicio: 188.60s, Fin: 190.40s (Duración: 1.80s)
- Inicio: 190.53s, Fin: 190.80s (Duración: 0.27s)
- Inicio: 191.13s, Fin: 191.13s (Duración: 0.00s)
- Inicio: 191.40s, Fin: 191.60s (Duración: 0.20s)
- Inicio: 191.80s, Fin: 191.80s (Duración: 0.00s)
- Inicio: 192.47s, Fin: 192.53s (Duración: 0.07s)
- Inicio: 192.87s, Fin: 192.87s (Duración: 0.00s)
- Inicio: 199.40s, Fin: 199.40s (Duración: 0.00s)
- Inicio: 200.47s, Fin: 200.60s (Duración: 0.13s)
- Inicio: 201.00s, Fin: 201.13s (Duración: 0.13s)
- Inicio: 201.53s, Fin: 201.53s (Duración: 0.00s)
- Inicio: 212.33s, Fin: 212.33s (Duración: 0.00s)
- Inicio: 212.73s, Fin: 212.73s (Duración: 0.00s)
- Inicio: 213.13s, Fin: 213.27s (Duración: 0.13s)
- Inicio: 213.47s, Fin: 213.67s (Duración: 0.20s)
- Inicio: 213.87s, Fin: 213.93s (Duración: 0.07s)
- Inicio: 214.27s, Fin: 214.40s (Duración: 0.13s)
- Inicio: 214.60s, Fin: 214.60s (Duración: 0.00s)
- Inicio: 214.93s, Fin: 214.93s (Duración: 0.00s)
- Inicio: 215.13s, Fin: 215.13s (Duración: 0.00s)
- Inicio: 215.33s, Fin: 215.33s (Duración: 0.00s)
- Inicio: 217.47s, Fin: 217.73s (Duración: 0.27s)
- Inicio: 217.87s, Fin: 217.87s (Duración: 0.00s)
- Inicio: 219.00s, Fin: 219.00s (Duración: 0.00s)
- Inicio: 219.33s, Fin: 219.40s (Duración: 0.07s)
- Inicio: 219.60s, Fin: 220.87s (Duración: 1.27s)
- Inicio: 221.13s, Fin: 222.00s (Duración: 0.87s)
- Inicio: 222.20s, Fin: 222.20s (Duración: 0.00s)
- Inicio: 222.67s, Fin: 223.33s (Duración: 0.67s)
- Inicio: 223.53s, Fin: 223.80s (Duración: 0.27s)
- Inicio: 224.07s, Fin: 224.40s (Duración: 0.33s)
- Inicio: 224.73s, Fin: 224.93s (Duración: 0.20s)
- Inicio: 229.13s, Fin: 229.53s (Duración: 0.40s)
- Inicio: 229.67s, Fin: 230.20s (Duración: 0.53s)
- Inicio: 230.60s, Fin: 230.80s (Duración: 0.20s)
- Inicio: 231.07s, Fin: 231.13s (Duración: 0.07s)
- Inicio: 231.53s, Fin: 231.53s (Duración: 0.00s)
- Inicio: 232.07s, Fin: 232.13s (Duración: 0.07s)
- Inicio: 232.27s, Fin: 232.67s (Duración: 0.40s)
- Inicio: 232.80s, Fin: 232.87s (Duración: 0.07s)
- Inicio: 233.00s, Fin: 233.27s (Duración: 0.27s)
- Inicio: 233.87s, Fin: 234.27s (Duración: 0.40s)
- Inicio: 234.47s, Fin: 234.60s (Duración: 0.13s)
- Inicio: 234.80s, Fin: 234.87s (Duración: 0.07s)
- Inicio: 235.27s, Fin: 235.27s (Duración: 0.00s)
- Inicio: 235.47s, Fin: 235.53s (Duración: 0.07s)
